id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
17624400,Manhattan,West Village,40.73575,-73.99913,Entire home/apt,5.41610040220442,30,12,0.19,1,0
17808825,Brooklyn,Canarsie,40.64319,-73.91294,Private room,4.532599493153256,30,24,0.39,4,310
17431995,Manhattan,Gramercy,40.73533,-73.98049,Entire home/apt,5.043425116919247,31,41,0.7,4,48
17434184,Manhattan,Harlem,40.80717,-73.95065,Private room,6.326149473155099,1,36,0.59,8,230
17434977,Brooklyn,Greenpoint,40.7208,-73.94238,Entire home/apt,4.48863636973214,30,11,0.18,9,31
17624418,Brooklyn,Bay Ridge,40.62482,-74.02959,Entire home/apt,4.787491742782046,30,5,0.24,1,7
17632840,Brooklyn,Coney Island,40.576569,-73.985207,Entire home/apt,4.77912349311153,3,150,2.4,5,169
17447150,Manhattan,Upper West Side,40.78541,-73.97267,Entire home/apt,5.429345628954441,30,8,0.13,8,277
17447168,Brooklyn,Williamsburg,40.70655,-73.94886,Private room,4.07753744390572,30,4,0.06,2,0
17808917,Manhattan,Upper East Side,40.77707,-73.95631,Private room,4.653960350157523,30,8,0.13,1,0
17809161,Manhattan,East Village,40.72843,-73.98135,Entire home/apt,4.59511985013459,30,1,0.02,1,0
17635569,Brooklyn,Brooklyn Heights,40.69145,-73.99413,Private room,4.007333185232471,30,3,0.05,1,0
17809310,Brooklyn,Crown Heights,40.67188,-73.95388,Private room,3.912023005428146,6,50,0.79,2,46
17810201,Manhattan,Inwood,40.86336,-73.91875,Private room,4.31748811353631,2,93,1.49,2,145
17448930,Brooklyn,Williamsburg,40.71477,-73.9611,Entire home/apt,5.393627546352362,30,10,0.17,1,241
17450190,Manhattan,Midtown,40.74842,-73.98676,Private room,3.713572066704308,300,1,0.02,1,89
17641625,Manhattan,East Village,40.72595,-73.9859,Entire home/apt,5.0106352940962555,5,31,0.51,1,0
17456705,Manhattan,Hell's Kitchen,40.76581,-73.98898,Private room,4.31748811353631,30,17,0.4,2,0
17822626,Brooklyn,Prospect-Lefferts Gardens,40.65738,-73.95363,Private room,3.912023005428146,30,0,0.0,1,0
17824129,Manhattan,Midtown,40.74427,-73.98351,Entire home/apt,4.787491742782046,30,5,0.08,2,0
17649177,Manhattan,Inwood,40.86404,-73.92873,Private room,3.912023005428146,1,0,0.0,1,155
17829947,Brooklyn,Williamsburg,40.7168,-73.94519,Entire home/apt,5.075173815233827,30,10,0.16,1,0
17457491,Brooklyn,Bushwick,40.69894,-73.92973,Private room,4.3694478524670215,30,24,0.48,1,91
17651741,Brooklyn,Bedford-Stuyvesant,40.6819,-73.91213,Private room,3.5553480614894135,3,36,0.57,1,0
17652158,Brooklyn,Williamsburg,40.7089,-73.96561,Private room,4.382026634673881,1,181,2.86,2,99
17460510,Manhattan,Harlem,40.81645,-73.93778,Entire home/apt,5.19295685089021,30,24,0.39,1,123
17653243,Manhattan,Little Italy,40.71899,-73.99773,Entire home/apt,4.8283137373023015,30,6,0.1,189,42
17463059,Manhattan,Harlem,40.81793,-73.94696,Entire home/apt,5.278114659230517,1,308,4.82,3,47
17831374,Manhattan,East Village,40.73146,-73.98669,Private room,4.653960350157523,30,1,0.16,1,35
17831929,Brooklyn,Flatbush,40.65003,-73.96471,Private room,3.091042453358316,30,2,0.03,1,0
17653791,Brooklyn,Crown Heights,40.67702,-73.94923,Entire home/apt,4.442651256490317,31,65,1.03,1,267
17840284,Manhattan,Washington Heights,40.84507,-73.93937,Private room,4.219507705176107,5,7,0.11,1,0
17842111,Bronx,Kingsbridge,40.87725,-73.89922,Entire home/apt,4.499809670330265,4,179,2.89,2,299
17842170,Brooklyn,Bedford-Stuyvesant,40.69233,-73.94423,Private room,5.0106352940962555,30,0,0.0,2,172
17464043,Brooklyn,Williamsburg,40.7166,-73.95332,Shared room,5.1647859739235145,30,0,0.0,1,0
17464151,Manhattan,Upper West Side,40.79455,-73.97488,Entire home/apt,5.135798437050262,30,10,0.17,1,263
17465199,Manhattan,Greenwich Village,40.73416,-73.9979,Entire home/apt,4.812184355372417,30,3,0.05,1,0
17479736,Manhattan,Harlem,40.82639,-73.94546,Private room,4.07753744390572,1,19,0.37,1,0
17480275,Manhattan,Morningside Heights,40.81662,-73.96006,Private room,4.248495242049359,30,0,0.0,1,0
17654611,Queens,Long Island City,40.74299,-73.94882,Private room,4.605170185988092,1,37,0.59,1,101
17480547,Brooklyn,Bushwick,40.6949,-73.92676,Private room,3.4339872044851463,30,0,0.0,1,0
17481087,Manhattan,Chelsea,40.74276,-73.99421,Entire home/apt,5.521460917862246,4,1,0.02,1,0
17481484,Brooklyn,Crown Heights,40.67538,-73.94012,Private room,4.31748811353631,30,0,0.0,1,0
17655017,Queens,Long Island City,40.75498,-73.92169,Private room,4.605170185988092,30,0,0.0,1,0
17489509,Brooklyn,Greenpoint,40.72302,-73.95068,Entire home/apt,5.19295685089021,30,159,2.55,1,0
17495518,Manhattan,Upper East Side,40.78121,-73.9498,Entire home/apt,4.605170185988092,30,7,0.11,1,0
17495862,Brooklyn,Crown Heights,40.67168,-73.92938,Private room,4.07753744390572,4,45,0.7,1,11
17843168,Manhattan,Upper West Side,40.77128,-73.98258,Private room,5.54907608489522,3,11,0.18,2,0
17844130,Brooklyn,Brooklyn Heights,40.69593,-73.99662,Entire home/apt,5.0689042022202315,30,35,0.56,1,66
17845507,Brooklyn,South Slope,40.66193,-73.98648,Private room,3.912023005428146,30,19,0.31,1,0
17845650,Manhattan,Midtown,40.75774,-73.96771,Entire home/apt,4.997212273764115,30,12,0.19,1,0
17849234,Manhattan,Chelsea,40.75527,-74.00452,Shared room,5.7745515455444085,30,0,0.0,1,0
17853353,Bronx,Pelham Gardens,40.86613,-73.84805,Private room,3.7612001156935624,30,52,0.86,1,225
17855771,Brooklyn,Williamsburg,40.7174,-73.95858,Private room,4.174387269895637,30,1,0.02,2,0
17662532,Brooklyn,Williamsburg,40.71784,-73.95997,Private room,4.382026634673881,30,0,0.0,2,0
17857431,Brooklyn,Crown Heights,40.67911,-73.96192,Entire home/apt,6.586171654854675,30,10,0.16,1,244
17496511,Manhattan,SoHo,40.72081,-73.99911,Entire home/apt,5.1647859739235145,30,16,0.25,1,0
17665859,Manhattan,East Harlem,40.79068,-73.94164,Entire home/apt,4.442651256490317,5,0,0.0,1,282
17499587,Manhattan,Midtown,40.74361,-73.98391,Entire home/apt,5.393627546352362,30,6,0.1,1,0
17860042,Brooklyn,Williamsburg,40.7118,-73.9594,Private room,4.174387269895637,30,10,0.18,2,0
17864665,Manhattan,Upper East Side,40.76997,-73.95109,Entire home/apt,4.787491742782046,14,7,0.15,1,5
17665943,Queens,East Elmhurst,40.76094,-73.87846,Private room,4.143134726391533,1,505,7.99,3,324
17866018,Brooklyn,Bushwick,40.69918,-73.92486,Private room,3.912023005428146,9,32,0.55,2,130
17500994,Brooklyn,Canarsie,40.64547,-73.90211,Entire home/apt,4.2626798770413155,2,163,2.97,1,233
17666011,Manhattan,Upper West Side,40.7971,-73.96159,Private room,4.8283137373023015,30,4,0.06,1,0
17506469,Brooklyn,Williamsburg,40.71293,-73.94635,Private room,4.672828834461906,30,1,0.02,1,0
17508300,Manhattan,West Village,40.73388,-74.00669,Entire home/apt,5.19295685089021,30,0,0.0,1,0
17866206,Brooklyn,Coney Island,40.57574,-73.98624,Entire home/apt,4.859812404361672,3,112,1.8,5,160
17866302,Manhattan,Harlem,40.80363,-73.95168,Private room,4.174387269895637,30,8,0.2,2,0
17872922,Brooklyn,Williamsburg,40.71012,-73.95796,Entire home/apt,4.605170185988092,30,12,0.19,2,0
17667585,Brooklyn,Williamsburg,40.71375,-73.96195,Private room,4.406719247264253,30,15,0.24,1,0
17876530,Bronx,Allerton,40.86762,-73.85688,Entire home/apt,5.209486152841421,2,121,1.93,4,344
17508940,Manhattan,Washington Heights,40.85149,-73.9358,Shared room,3.5553480614894135,1,39,0.61,1,0
17667639,Manhattan,Upper West Side,40.796,-73.97631,Entire home/apt,5.3706380281276624,30,45,0.72,1,0
17512466,Manhattan,Midtown,40.75086,-73.98256,Entire home/apt,5.3230099791384085,60,9,0.15,12,205
17512898,Manhattan,Greenwich Village,40.73484,-73.99665,Private room,5.703782474656201,30,1,0.02,1,0
17879131,Manhattan,Chelsea,40.7433,-74.00129,Private room,6.042632833682381,2,237,3.77,1,86
17669480,Brooklyn,Bedford-Stuyvesant,40.68424,-73.94597,Entire home/apt,4.976733742420574,2,224,3.53,2,82
17881079,Brooklyn,Greenpoint,40.72485,-73.9453,Private room,4.04305126783455,30,9,0.15,1,0
17892835,Brooklyn,Crown Heights,40.67103,-73.94918,Private room,3.6888794541139363,30,0,0.0,2,0
17893069,Manhattan,Greenwich Village,40.73251,-73.99279,Entire home/apt,5.298317366548036,30,1,0.02,1,0
17513537,Brooklyn,Fort Greene,40.69254,-73.9746,Entire home/apt,6.907755278982137,30,53,0.85,1,154
17515391,Brooklyn,South Slope,40.6657,-73.98009,Entire home/apt,5.147494476813453,3,119,1.9,1,70
17515734,Brooklyn,Bedford-Stuyvesant,40.69488,-73.94869,Entire home/apt,5.272999558563747,8,67,1.08,2,34
17963856,Manhattan,Inwood,40.86591,-73.92261,Private room,4.174387269895637,30,1,0.02,1,0
17677710,Brooklyn,Bushwick,40.69878,-73.92581,Private room,4.248495242049359,30,19,0.31,2,0
17899730,Bronx,Tremont,40.84685,-73.89016,Entire home/apt,5.703782474656201,1,51,0.81,1,179
17679645,Manhattan,Harlem,40.81255,-73.94417,Private room,4.007333185232471,30,0,0.0,1,0
17900193,Manhattan,Lower East Side,40.72192,-73.98941,Entire home/apt,5.0106352940962555,30,3,0.05,1,0
17906420,Brooklyn,Bedford-Stuyvesant,40.689,-73.95224,Entire home/apt,4.74493212836325,2,51,0.83,1,5
17972466,Manhattan,Upper West Side,40.78574,-73.97547,Private room,4.499809670330265,30,4,0.07,2,0
17974244,Manhattan,Upper West Side,40.78918,-73.97922,Entire home/apt,6.684611727667927,30,1,0.02,1,215
17679822,Manhattan,Harlem,40.81302,-73.94551,Entire home/apt,5.075173815233827,4,31,0.51,1,210
17908179,Brooklyn,Clinton Hill,40.69373,-73.96619,Entire home/apt,5.0106352940962555,40,3,0.05,1,0
17680909,Queens,Fresh Meadows,40.73251,-73.79392,Entire home/apt,3.9318256327243257,2,236,3.71,1,17
17923261,Queens,Maspeth,40.71957,-73.89214,Entire home/apt,4.59511985013459,3,87,1.93,1,188
17925111,Manhattan,Hell's Kitchen,40.76111,-73.99409,Entire home/apt,4.8283137373023015,30,11,0.22,189,302
17925453,Brooklyn,Crown Heights,40.67095,-73.94057,Private room,3.713572066704308,30,38,0.6,7,295
17975664,Bronx,Edenwald,40.88677,-73.83411,Private room,4.605170185988092,3,53,0.84,1,344
17979132,Manhattan,Upper West Side,40.80192,-73.9619,Private room,3.6888794541139363,30,1,0.02,1,0
17682843,Queens,Astoria,40.76329,-73.90842,Private room,4.77912349311153,1,194,3.06,2,358
17981267,Bronx,Concourse,40.81992,-73.92809,Entire home/apt,4.820281565605037,30,99,1.64,2,125
17981447,Manhattan,Chelsea,40.75048,-74.00533,Private room,4.04305126783455,3,53,0.84,1,0
17984049,Manhattan,Flatiron District,40.74075,-73.98902,Entire home/apt,4.976733742420574,30,1,0.02,1,325
17926371,Brooklyn,Park Slope,40.67147,-73.97132,Entire home/apt,6.907755278982137,30,0,0.0,1,0
17683202,Brooklyn,Park Slope,40.68189,-73.97987,Entire home/apt,5.19295685089021,30,2,0.03,1,0
17929219,Manhattan,West Village,40.73498,-74.00124,Entire home/apt,5.926926025970411,30,50,0.8,1,104
17987648,Brooklyn,East Flatbush,40.64909,-73.9202,Entire home/apt,4.605170185988092,30,14,0.23,1,328
17988221,Manhattan,East Village,40.72437,-73.98161,Private room,4.499809670330265,30,0,0.0,2,0
17989537,Manhattan,East Village,40.72285,-73.98151,Private room,4.605170185988092,30,0,0.0,2,0
17683903,Brooklyn,Prospect-Lefferts Gardens,40.65625,-73.9578,Entire home/apt,5.247024072160486,7,14,0.23,2,53
17684067,Brooklyn,Flatbush,40.64053,-73.95752,Private room,4.0943445622221,30,0,0.0,1,0
17938337,Brooklyn,Canarsie,40.63763,-73.8856,Entire home/apt,4.382026634673881,2,146,2.38,1,342
17684359,Manhattan,Chelsea,40.74071,-74.00193,Entire home/apt,5.8998973535824915,30,7,0.11,1,0
17940198,Brooklyn,Bedford-Stuyvesant,40.69696,-73.9435,Private room,3.784189633918261,3,44,0.73,1,0
17941948,Manhattan,Stuyvesant Town,40.73092,-73.97642,Private room,4.007333185232471,31,0,0.0,1,0
17992512,Staten Island,Stapleton,40.63031,-74.08091,Entire home/apt,4.2626798770413155,1,410,6.81,1,169
17684828,Queens,Ditmars Steinway,40.77483,-73.9071,Entire home/apt,5.298317366548036,30,47,0.75,1,0
18003918,Manhattan,Upper West Side,40.78022,-73.97864,Entire home/apt,5.1647859739235145,30,2,0.03,1,0
17943407,Manhattan,East Village,40.73135,-73.98486,Entire home/apt,4.787491742782046,30,30,0.48,1,1
17684912,Brooklyn,Bedford-Stuyvesant,40.68995,-73.95823,Entire home/apt,5.241747015059643,30,33,0.77,1,0
17943732,Manhattan,SoHo,40.72766,-74.00243,Entire home/apt,5.991464547107982,45,16,0.49,1,76
18005257,Manhattan,Upper West Side,40.78065,-73.98788,Entire home/apt,5.293304824724492,180,0,0.0,1,0
18006977,Manhattan,Nolita,40.72185,-73.99526,Entire home/apt,5.521460917862246,2,7,0.12,1,0
17692964,Manhattan,Tribeca,40.72091,-74.01048,Entire home/apt,5.087596335232384,30,12,0.19,1,0
